Topics,Query 1 KendalT,Query 1 Jaccard,Query 2 KendalT,Query 2 Jaccard,sub-Query 2 KendalT,sub-Query 2 Jaccard
Vacation,0.02,0.64,-0.25,0.62,0.01,0.48
Ancient History,-0.23,1.0,0.02,0.26,0.32,0.36
Baby,0.02,0.58,0.16,0.44,0.15,1.0
Hobbies,-0.16,1.0,-0.1,1.0,-0.1,1.0
House,-0.01,0.66,-0.21,0.95,0.03,0.71
Train,-0.22,0.94,0.24,0.89,-0.06,0.97
Library,0.09,0.86,0.08,0.56,0.14,0.81
Relationship,-0.15,0.35,-0.35,1.0,0.12,1.0
Phones,-0.22,0.66,0.25,0.97,0.22,0.95
Global Warming,0.12,0.81,0.11,0.74,0.15,0.27
Food,0.32,0.71,0.01,1.0,-0.09,1.0
Music,0.2,1.0,0.15,1.0,0.2,0.75
Environmental Protection,-0.25,0.5,-0.14,0.73,0.03,0.58
Social Media,0.08,1.0,0.29,0.5,0.16,0.42
Product Reviews,0.15,1.0,0.15,1.0,-0.07,0.92
Legal behaviors,0.06,0.81,-0.04,1.0,-0.06,0.67
Charity,0.09,0.74,0.24,0.69,-0.33,0.94
Education,0.23,0.45,0.02,0.46,0.42,0.48
Health,0.06,0.42,0.08,1.0,0.04,1.0
Religion,0.7,0.25,0.37,0.33,-0.01,0.65
